id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-823835";"2019-06-11";"1";"Vente";"1000000.0";"10.0";"None";"RUE DU PALAIS";"0500";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000D0047";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"160.0";"6.0";"AG";"terrains d'agrément";"JARD";"Jardin d'agrément";"1018.0";"1.809176";"48.774297";"0000D"
"2019-823835";"2019-06-11";"1";"Vente";"1000000.0";"10.0";"None";"RUE DU PALAIS";"0500";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000D0047";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"160.0";"6.0";"S";"sols";"None";"None";"91.0";"1.809176";"48.774297";"0000D"
"2019-823835";"2019-06-11";"1";"Vente";"1000000.0";"nan";"None";"BLUCHE";"B004";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000D0087";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"526.0";"1.809048";"48.773932";"0000D"
"2019-823835";"2019-06-11";"1";"Vente";"1000000.0";"nan";"None";"LA MOUTIERE OUEST";"B023";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000D0046";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"101.0";"1.808943";"48.774424";"0000D"
"2019-823835";"2019-06-11";"1";"Vente";"1000000.0";"nan";"None";"RUE DU PALAIS";"0500";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000D0178";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"110.0";"1.808937";"48.774329";"0000D"
"2019-823067";"2019-04-04";"1";"Vente";"966250.0";"6.0";"None";"RUE DU PALAIS";"0500";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000D0165";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"230.0";"5.0";"AG";"terrains d'agrément";"JARD";"Jardin d'agrément";"1303.0";"1.808788";"48.774214";"0000D"
"2019-823067";"2019-04-04";"1";"Vente";"966250.0";"6.0";"None";"RUE DU PALAIS";"0500";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000D0165";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"230.0";"5.0";"S";"sols";"None";"None";"500.0";"1.808788";"48.774214";"0000D"
"2018-1090802";"2018-10-29";"1";"Vente";"425000.0";"21.0";"None";"RUE DE SANCE";"0740";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000D0151";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"4";"Local industriel. commercial ou assimilé";"201.0";"0.0";"S";"sols";"None";"None";"493.0";"1.806326";"48.775315";"0000D"
"2018-1090802";"2018-10-29";"1";"Vente";"425000.0";"nan";"None";"RUE DE SANCE";"0740";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000D0148";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"21.0";"1.806286";"48.775391";"0000D"
"2018-1090802";"2018-10-29";"1";"Vente";"425000.0";"nan";"None";"RUE DE SANCE";"0740";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000D0149";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"10.0";"1.806338";"48.775361";"0000D"
"2018-1089973";"2018-08-29";"1";"Vente";"550000.0";"16.0";"None";"RUE DU PALAIS";"0500";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000D0183";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"161.0";"8.0";"J";"jardins";"POTAG";"Jardin potager";"1165.0";"1.809918";"48.774268";"0000D"
"2018-1089973";"2018-08-29";"1";"Vente";"550000.0";"16.0";"None";"RUE DU PALAIS";"0500";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000D0183";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"161.0";"8.0";"S";"sols";"None";"None";"201.0";"1.809918";"48.774268";"0000D"
