id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-825851";"2019-10-18";"1";"Vente";"508000.0";"4";"None";"ALL DES CEDRES";"0088";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0185";"None";"None";"16";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"165.0";"4";"None";"None";"None";"None";"nan";"1.799484";"48.769554";"0000E"
"2018-1091225";"2018-12-14";"1";"Vente";"498500.0";"15";"None";"RUE DU VERT GALANT";"0805";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0073";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"134.0";"7";"S";"sols";"None";"None";"404.0";"1.794";"48.771201";"0000E"
"2018-1091225";"2018-12-14";"1";"Vente";"498500.0";"15";"None";"RUE DU VERT GALANT";"0805";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0073";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"134.0";"7";"J";"jardins";"POTAG";"Jardin potager";"600.0";"1.794";"48.771201";"0000E"
"2018-1090763";"2018-10-29";"1";"Vente";"600000.0";"4";"None";"ALL DES CHARMES";"0097";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0185";"None";"None";"7";"176.67";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"147.0";"5";"None";"None";"None";"None";"nan";"1.799484";"48.769554";"0000E"
"2018-1089743";"2018-08-01";"1";"Vente";"588500.0";"3";"None";"ALL DES CHARMES";"0097";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0185";"None";"None";"3";"181.82";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"183.0";"6";"None";"None";"None";"None";"nan";"1.799484";"48.769554";"0000E"
"2018-1089733";"2018-07-26";"1";"Vente";"352500.0";"2";"None";"RES DE L ETANG";"A001";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0156";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"71.0";"5";"S";"sols";"None";"None";"702.0";"1.789905";"48.771788";"0000E"
"2018-1088276";"2018-04-16";"1";"Vente";"637900.0";"3";"None";"ALL DES ORMES";"0493";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0185";"None";"None";"10";"303.08";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"185.0";"6";"None";"None";"None";"None";"nan";"1.799484";"48.769554";"0000E"
"2018-1087632";"2018-02-28";"1";"Vente";"588000.0";"4";"None";"ALL DES ORMES";"0493";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0185";"None";"None";"11";"166.93";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"136.0";"6";"None";"None";"None";"None";"nan";"1.799484";"48.769554";"0000E"
"2018-1087317";"2018-01-31";"1";"Vente";"350000.0";"1";"None";"RES DE L ETANG";"A001";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0152";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"3";"S";"sols";"None";"None";"500.0";"1.789304";"48.772331";"0000E"
"2018-1087317";"2018-01-31";"1";"Vente";"350000.0";"1";"None";"RES DE L ETANG";"A001";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0152";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"3";"J";"jardins";"POTAG";"Jardin potager";"489.0";"1.789304";"48.772331";"0000E"
"2017-1117834";"2017-12-26";"1";"Vente";"352500.0";"3";"None";"RUE DE L ETANG";"0190";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0065";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"85.0";"4";"J";"jardins";"POTAG";"Jardin potager";"600.0";"1.792284";"48.772137";"0000E"
"2017-1117834";"2017-12-26";"1";"Vente";"352500.0";"3";"None";"RUE DE L ETANG";"0190";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0065";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"85.0";"4";"S";"sols";"None";"None";"400.0";"1.792284";"48.772137";"0000E"
"2017-1117395";"2017-11-16";"1";"Vente";"399350.0";"15";"None";"RUE DE L ETANG";"0190";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0117";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"91.0";"5";"J";"jardins";"POTAG";"Jardin potager";"500.0";"1.790354";"48.771782";"0000E"
"2017-1117395";"2017-11-16";"1";"Vente";"399350.0";"15";"None";"RUE DE L ETANG";"0190";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0117";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"91.0";"5";"S";"sols";"None";"None";"434.0";"1.790354";"48.771782";"0000E"
"2017-1115848";"2017-07-28";"1";"Vente";"450000.0";"2";"None";"RUE SULLY";"0745";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0110";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"180.0";"8";"S";"sols";"None";"None";"591.0";"1.791925";"48.770981";"0000E"
"2017-1115848";"2017-07-28";"1";"Vente";"450000.0";"2";"None";"RUE SULLY";"0745";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0110";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"180.0";"8";"J";"jardins";"POTAG";"Jardin potager";"400.0";"1.791925";"48.770981";"0000E"
"2017-1115088";"2017-05-31";"1";"Vente";"452600.0";"55";"None";"RUE DE NAVARRE";"0470";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0085";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"112.0";"5";"J";"jardins";"POTAG";"Jardin potager";"512.0";"1.795686";"48.769937";"0000E"
"2017-1115088";"2017-05-31";"1";"Vente";"452600.0";"55";"None";"RUE DE NAVARRE";"0470";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0085";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"112.0";"5";"S";"sols";"None";"None";"500.0";"1.795686";"48.769937";"0000E"
"2017-1114765";"2017-05-19";"1";"Vente";"538350.0";"23";"None";"RUE DE NAVARRE";"0470";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0128";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"165.0";"6";"S";"sols";"None";"None";"508.0";"1.791878";"48.77063";"0000E"
"2017-1114765";"2017-05-19";"1";"Vente";"538350.0";"23";"None";"RUE DE NAVARRE";"0470";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0128";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"165.0";"6";"J";"jardins";"POTAG";"Jardin potager";"500.0";"1.791878";"48.77063";"0000E"
"2016-987160";"2016-11-08";"1";"Vente";"601700.0";"8";"None";"RUE BERTRAND DU GUESCLIN";"0048";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0185";"None";"None";"1";"186.88";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"200.0";"7";"None";"None";"None";"None";"nan";"1.799484";"48.769554";"0000E"
"2016-985623";"2016-07-04";"1";"Vente";"345000.0";"25";"None";"RUE DE NAVARRE";"0470";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0129";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"85.0";"5";"S";"sols";"None";"None";"403.0";"1.792163";"48.770632";"0000E"
"2016-985623";"2016-07-04";"1";"Vente";"345000.0";"25";"None";"RUE DE NAVARRE";"0470";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0129";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"85.0";"5";"J";"jardins";"POTAG";"Jardin potager";"600.0";"1.792163";"48.770632";"0000E"
"2015-917078";"2015-10-22";"1";"Vente";"531410.0";"1";"None";"ALL DES TILLEULS";"0755";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0185";"None";"None";"18";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"151.0";"5";"None";"None";"None";"None";"nan";"1.799484";"48.769554";"0000E"
"2015-916095";"2015-07-31";"1";"Vente";"550000.0";"5";"None";"ALL DES TILLEULS";"0755";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0185";"None";"None";"20";"174.91";"None";"None";"None";"None";"None";"None";"None";"None";"1";"1";"Maison";"151.0";"6";"None";"None";"None";"None";"nan";"1.799484";"48.769554";"0000E"
"2015-916103";"2015-07-31";"1";"Vente";"436215.0";"18";"None";"RUE DE NAVARRE";"0470";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0101";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"117.0";"4";"S";"sols";"None";"None";"500.0";"1.792755";"48.770983";"0000E"
"2015-916103";"2015-07-31";"1";"Vente";"436215.0";"18";"None";"RUE DE NAVARRE";"0470";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0101";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"117.0";"4";"J";"jardins";"POTAG";"Jardin potager";"506.0";"1.792755";"48.770983";"0000E"
"2015-916183";"2015-07-28";"1";"Vente";"432500.0";"49";"None";"RUE DE NAVARRE";"0470";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0088";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"101.0";"6";"J";"jardins";"POTAG";"Jardin potager";"392.0";"1.795345";"48.769745";"0000E"
"2015-916183";"2015-07-28";"1";"Vente";"432500.0";"49";"None";"RUE DE NAVARRE";"0470";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0088";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"101.0";"6";"S";"sols";"None";"None";"500.0";"1.795345";"48.769745";"0000E"
"2015-915326";"2015-06-02";"1";"Vente";"369541.0";"7";"None";"RUE DE L ETANG";"0190";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0063";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"97.0";"5";"S";"sols";"None";"None";"400.0";"1.791822";"48.771909";"0000E"
"2015-915326";"2015-06-02";"1";"Vente";"369541.0";"7";"None";"RUE DE L ETANG";"0190";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000E0063";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"97.0";"5";"J";"jardins";"POTAG";"Jardin potager";"600.0";"1.791822";"48.771909";"0000E"
