id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-826679";"2019-12-17";"1";"Vente";"946500.0";"1.0";"None";"RUE ERNEST MAY";"0200";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000F0585";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"206.0";"7.0";"S";"sols";"None";"None";"500.0";"1.814326";"48.77464";"0000F"
"2019-826679";"2019-12-17";"1";"Vente";"946500.0";"1.0";"None";"RUE ERNEST MAY";"0200";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000F0585";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"206.0";"7.0";"AG";"terrains d'agrément";"JARD";"Jardin d'agrément";"700.0";"1.814326";"48.77464";"0000F"
"2019-825909";"2019-10-30";"1";"Vente";"1564000.0";"14.0";"None";"CHE DE CHATELUIS";"0102";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000F0221";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"334.0";"10.0";"AG";"terrains d'agrément";"PARC";"Parc";"8167.0";"1.816725";"48.766797";"0000F"
"2019-825909";"2019-10-30";"1";"Vente";"1564000.0";"14.0";"None";"CHE DE CHATELUIS";"0102";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000F0221";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"334.0";"10.0";"S";"sols";"None";"None";"540.0";"1.816725";"48.766797";"0000F"
"2019-825909";"2019-10-30";"1";"Vente";"1564000.0";"nan";"None";"LA JONCHEE";"B018";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000F0222";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"1212.0";"1.816385";"48.766565";"0000F"
"2019-825271";"2019-09-20";"1";"Vente";"342375.0";"30.0";"None";"RUE DE LA CROIX DE ROME";"0140";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000F0574";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"89.0";"4.0";"S";"sols";"None";"None";"333.0";"1.820318";"48.782399";"0000F"
"2019-825130";"2019-08-30";"1";"Vente";"810000.0";"7.0";"None";"RES LES CHAMPS";"A003";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000F0445";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"176.0";"6.0";"S";"sols";"None";"None";"817.0";"1.821395";"48.781413";"0000F"
"2019-823227";"2019-04-16";"1";"Vente";"300000.0";"5134.0";"None";"LES AMONTOIRES";"B001";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000F0354";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"54.0";"1.821115";"48.766367";"0000F"
"2019-823227";"2019-04-16";"1";"Vente";"300000.0";"nan";"None";"LES AMONTOIRES";"B001";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000F0601";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"J";"jardins";"POTAG";"Jardin potager";"5000.0";"1.821406";"48.76626";"0000F"
"2019-822995";"2019-03-28";"1";"Vente";"1550000.0";"7.0";"None";"CHE DE L AUNAY BERTIN";"0047";"78490";"78420";"Montfort-l'Amaury";"78";"None";"None";"784200000F0611";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"390.0";"8.0";"AG";"terrains d'agrément";"PARC";"Parc";"4240.0";"1.82338";"48.768702";"0000F"
